kHz,Time(UTC),Days,ITU, Station ,Lng,Target, Remarks ,P,Start,Stop, Input     , Type ,Tone Out,Tone In, Alpha Tag , Mode , Tag ,County,City,Agency,Notes,Source,EchoLink(E),IRLP(I),WideArea(x),ARES(s)
35060.000,,,,,,,Comcast Cable ,,,,,M,,,Comcast 3506,FM ,Business ,Santa Cruz,,Comcast Cable,,RadioReference,,,,
35120.000,,,,,,,Comcast Cable ,,,,,M,,,Comcast 3512,FM ,Business ,Santa Cruz,,Comcast Cable,,RadioReference,,,,
35140.000,,,,,,,Comcast Cable ,,,,,M,,,Comcast 3512,FM ,Business ,Santa Cruz,,Comcast Cable,,RadioReference,,,,
47660.000,,,,WQJG338 ,,,American Medical Response - Company Channel ,,,,,BM,,,SCZ AMR CO,FM ,EMS-Talk ,Santa Cruz,,Ambulance,,RadioReference,,,,
51760.000,,,,WE6R,,,Coordinated,,,,51.26,,,,WE6R,FMN,Ham,,Monterey,,clrs,narcc.org,,,,
51820.000,,,,WR6VHF,,,Not Coordinated,,,,51.32,,,136.5,CERT,FMN,Ham,,San Ardo,,#o136.5e,narcc.org,,,,
51920.000,,,,KU6V,,,Coordinated,,,,51.42,,,114.8,KU6V,FMN,Ham,,Los Gatos,,o114.8elx,narcc.org,,,y,
52580.000,,,,WA6VPL,,,Coordinated,,,,52.08,,,82.5,WA6VPL,FMN,Ham,,Nipomo,,o82.5el,narcc.org,,,,
52580.000,,,,W6PIY,,,Coordinated,,,,52.08,,,151.4,WVARA,FMN,Ham,,San Jose,,o151.4aels,narcc.org,,,,y
52600.000,,,,WA6VPL,,,Coordinated,,,,52.1,,,82.5,WA6VPL,FMN,Ham,,New Cuyama,,o82.5lx,narcc.org,,,y,
52640.000,,,,WA6FUL,,,Coordinated,,,,52.14,,,114.8,WA6FUL,FMN,Ham,,Palo Alto,,o114.8elrsx,narcc.org,,,y,y
52660.000,,,,KD6AOG,,,Not Coordinated,,,,52.16,,,127.3,KD6AOG,FMN,Ham,,San Jose,,#o127.3,narcc.org,,,,
52800.000,,,,WR6AOK,,,Coordinated,,,,52.3,,,114.8,SLVARC,FMN,Ham,,Ben Lomond,,o114.8esx,narcc.org,,,y,y
52940.000,,,,KG6HAT,,,Not Coordinated,,,,52.44,,,100,KG6HAT,FMN,Ham,,San Jose,,#o100.0,narcc.org,,,,
118000.000,,,,,,,San Jose Clearance Delivery,,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
118200.000,,,,,,,SFO Clearance Delivery,,,,,,,,,,Air,,,SFO,flightaware.com,liveatc.net,,,,
118300.000,,,,,,,"Oakland Tower (Runways 27L/9R, 27R/9L, 33/15, righ",,,,,,,,,,Air,,,OAK,,liveatc.net,,,,
120100.000,,,,,,,"NORCAL Approach ""LICKE"" SJC Final",,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
120100.000,,,,,,,"NORCAL Approach ""LICKE"" SJC Final",,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
120350.000,,,,,,,Norcal Approach - Foster,,,,,,,,,,Air,,,SFO,airnav.com,liveatc.net,,,,
120500.000,,,,,,,SFO Tower,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
120825.000,,,,,,,Beaver Control W-260,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
120900.000,,,,,,,Norcal Approach - NW,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
120900.000,,,,,,,Norcal Departure,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
120900.000,,,,,,,NORCAL Departure (Northeast Departures),,,,,,,,,,Air,,,OAK,,liveatc.net,,,,
121100.000,,,,,,,Oakland Clearance Delivery (left channel),,,,,,,,,,Air,,,OAK,,liveatc.net,,,,
121300.000,,,,,,,"NORCAL Approach ""TOGA""",,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
121300.000,,,,,,,NORCAL Departure,,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
121500.000,,,,,,,Emergency/Guard,,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
121500.000,,,,,,,Emergency/Guard,,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
121700.000,,,,,,,San Jose Ground,,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
121750.000,,,,,,,Oakland Ground (left channel),,,,,,,,,,Air,,,OAK,,liveatc.net,,,,
121800.000,,,,,,,SFO Ground,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
121900.000,,,,,,,"Oakland Ground (North, right channel)",,,,,,,,,,Air,,,OAK,,liveatc.net,,,,
122800.000,,,,,,,Common Traffic Advisory Freq ,,,,,RM,,,WVI CTAF,AM ,Air,Santa Cruz,Wattsonville,,,RadioReference,,,,
124000.000,,,,,,,San Jose Tower,,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
124125.000,,,,,,,Beaver Control W-283/W-285,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
124400.000,,,,,,,NORCAL Approach (Mulford Sector),,,,,,,,,,Air,,,OAK,,liveatc.net,,,,
125350.000,,,,,,,Norcal Approach - NE,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
125350.000,,,,,,,NORCAL Approach (KOAK Rwy 29/27R Final),,,,,,,,,,Air,,,OAK,,liveatc.net,,,,
127000.000,,,,,,,Norcal Approach - N,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
127000.000,,,,,,,NORCAL Departure (Northeast Departures),,,,,,,,,,Air,,,OAK,,liveatc.net,,,,
127150.000,,,,,,,Approach/Departure ,,,,,,,,WVI App/Dep,AM ,Air,Santa Cruz,,Air,,RadioReference,,,,
127200.000,,,,,,,Oakland Tower (left channel),,,,,,,,,,Air,,,OAK,,liveatc.net,,,,
127800.000,,,,,,,Oakland Center Sector 40,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
127850.000,,,,,,,Oakland Center Sector 41,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
127975.000,,,,,,,NORCAL Departure (Southwest Departures),,,,,,,,,,Air,,,OAK,,liveatc.net,,,,
128325.000,,,,,,,Norcal Approach,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
128575.000,,,,,,,Norcal Approach,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
128650.000,,,,,,,SFO Tower Secondary,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
129200.000,,,,,,,American Airlines Ops,,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
129800.000,,,,,,,Atlantic Aviation (San Jose Jet Center),,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
131200.000,,,,,,,Alaska Airlines Ops,,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
131700.000,,,,,,,Southwest Airlines Ops,,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
131950.000,,,,,,,ARINC San Francisco Radio,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
132000.000,,,,,,,Horizon Air Ops,,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
132275.000,,,,,,,ASOS ,,,,,RM,,,WVI ASOS,AM ,Air,Santa Cruz,Wattsonville,,,RadioReference,,,,
133950.000,,,,,,,Norcal Approach - Boulder,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
134150.000,,,,,,,Oakland Center Sector 35,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
134150.000,,,,,,,Oakland Center (Sector 35),,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
134500.000,,,,,,,Norcal Approach - SE,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
135100.000,,,,,,,Norcal Approach - W,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
135100.000,,,,,,,Norcal Departure,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
135100.000,,,,,,,NORCAL Departure (Southwest Departures),,,,,,,,,,Air,,,OAK,,liveatc.net,,,,
135200.000,,,,,,,NORCAL Approach,,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
135650.000,,,,,,,Norcal Approach - Woodside,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
135650.000,,,,,,,Norcal Approach - S ,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
145170.000,,,,W6UNI,,,Not Coordinated,,,,144.57,,,151.4,W6UNI,FMN,Ham,,Watsonville,,#o151.4,narcc.org,,,,
145170.000,,,,K6GL,,,Coordinated,,,,144.57,,,94.8,SNNYVLARES,FMN,Ham,,Sunnyvale,,o94.8ers,narcc.org,,,,y
145190.000,,,,WA2IBM,,,Not Coordinated,,,,144.59,,,151.4,IBM ARC,FMN,Ham,,San Jose,,#o151.4ae,narcc.org,,,,
145210.000,,,,KB6FEC,,,Pending,,,,144.61,,,114.8,AREA,FMN,Ham,,San Jose,,#o114.8rs,narcc.org,,,,y
145210.000,,,,N6HU,,,Coordinated,,,,144.61,,,,KQ6RC,FMN,Ham,,Soledad,,cel,narcc.org,,,,
145230.000,,,,N6NFI,,,Coordinated,,,,144.63,,,100,SPARK/SARS,FMN,Ham,,Palo Alto,,o100.0aersx,narcc.org,,,y,y
145250.000,,,,W6PEK,,,Not Coordinated,,,,144.65,,,100,W6PAD,FMN,Ham,,Santa Cruz,,#o100.0s,narcc.org,,,,y
145250.000,,,,NA6MF,,,Coordinated,,,,144.65,,,123,Ames ARC,FMN,Ham,,Moffett Field,,o123.0rs,narcc.org,,,,y
145270.000,,,,W6ASH,,,Coordinated,,,,144.67,,,100,SPECS RA,FMN,Ham,,Mountain View,,o100.0aelrs,narcc.org,,,,y
145290.000,,,,W6TUW ,,,Portable Repeater ,,,,144.69,RM,94.8 PL,,Portable,FM ,Ham ,Santa Cruz,,VHF ARES,,RadioReference,,,,
145290.000,,,,KC6WRD,,,Coordinated,,,,144.69,,,,FCC,FMN,Ham,,SanLuisObispo,,ce,narcc.org,,,,
145310.000,,,,KB6FEC,,,Coordinated,,,,144.71,,,162.2,AREA,FMN,Ham,,San Jose,,o162.2rs,narcc.org,,,,y
145330.000,,,,W6DNC,,,Not Coordinated,,,,144.73,,,123,W6DNC,FMN,Ham,,Watsonville,,#o123.0elsx,narcc.org,,,y,y
145350.000,,,,KI6YDR,,,Coordinated,,,,144.75,,,94.8,KI6YDR,FMN,Ham,,Boulder Creek,,o94.8e,narcc.org,,,,
145370.000,,,,N6SPD,,,Coordinated,,,,144.77,,,100,N6SPD RG,FMN,Ham,,King City,,o100.0elrsx,narcc.org,,,y,y
145410.000,,,,W6CER,,,Not Coordinated,,,,144.81,,,146.2,CCARN,FMN,Ham,,Salinas,,#o146.2el,narcc.org,E:305210,,,
145430.000,,,,N6SPD,,,Coordinated,,,,144.83,,,94.8,N6SPD RG,FMN,Ham,,Salinas,,o94.8esx,narcc.org,,,y,y
145430.000,,,,W6MLP,,,Coordinated,,,,144.83,,,85.4,MARES,FMN,Ham,,Milpitas,,o85.4elrs,narcc.org,,,,y
145450.000,,,,K6FB,,,Coordinated,,,,144.85,,,100,LCARC,FMN,Ham,,Los Gatos,,o100.0elrsx,narcc.org,,,y,y
145470.000,,,,K6JE,,,Coordinated,,,,144.87,,,94.8,FPRA,FMN,Ham,,Salinas,,o94.8ersx,narcc.org,,,y,y
145490.000,,,,W6RTF,,,Coordinated,,,,144.89,,,100,W6RTF,FMN,Ham,,Salinas,,o100.0l,narcc.org,E:141890,,,
146085.000,,,,KC6UDC,,,Not Coordinated,,,,146.685,,,100,KC6UDC,FMN,Ham,,Salinas,,#o100.0,narcc.org,,,,
146085.000,,,,WE6R,,,Coordinated,,,,146.685,,,,WE6R,FMN,Ham,,Monterey,,cers,narcc.org,,,,y
146085.000,,,,WB5NVN,,,Not Coordinated,,,,146.685,,,100,WB5NVN,FMN,Ham,,Portola Valley,,#o100.0,narcc.org,,,,
146115.000,,,,AA6BT,,,Coordinated,,,,146.715,,,100,SVECS,FMN,Ham,,San Jose,,o100.0aersx,narcc.org,,,y,y
146205.000,,,,KI6AOZ,,,Coordinated,,,,146.805,,,146.2,P.A.R.E,FMN,Ham,,San Jose,,o146.2,narcc.org,,,,
146355.000,,,,KD6AOG,,,Not Coordinated,,,,146.955,,,127.3,KD6AOG,FMN,Ham,,San Jose,,#o127.3,narcc.org,,,,
146620.000,,,,W6SLO,,,Coordinated,,,,146.02,,,127.3,SLOECC,FMN,Ham,,San Simeon,,o127.3ersx,narcc.org,,,y,y
146625.000,,,,N6SBC,,,Coordinated,,,,146.025,,,94.8,SBC ARES,FMN,Ham,,Paicines,,o94.8els,narcc.org,,,,y
146640.000,,,,WR6ABD,,,Coordinated,,,,146.04,,,162.2,LPRC,FMN,Ham,,San Jose,,o162.2ex,narcc.org,,,y,
146655.000,,,,KI6FKX,,,Not Coordinated,,,,146.055,,,94.8,KI6FKX,FMN,Ham,,Salinas,,#o94.8es,narcc.org,,,,y
146655.000,,,,K6SA,,,Coordinated,,,,146.055,,,114.8,SARA,FMN,Ham,,Saratoga,,o114.8elrs,narcc.org,E:85531,I:3671 ,,y
146670.000,,,,W6SLO,,,Coordinated,,,,146.07,,,127.3,SLOECC,FMN,Ham,,SanLuisObispo,,o127.3ersx,narcc.org,,,y,y
146700.000,,,,NS6G,,,Not Coordinated,,,,146.1,,,94.8,GOB/R,FMN,Ham,,Watsonville,,#o94.8e,narcc.org,,,,
146730.000,,,,W6FM,,,Coordinated,,,,146.13,,,127.3,W6FM,FMN,Ham,,San Ardo,,o127.3elsx,narcc.org,,,y,y
146745.000,,,,W6JWS ,,,Empire Grade ,,,,146.145,RM,94.8 PL,,Empire,FM ,Ham ,Santa Cruz,,VHF ARES,,RadioReference,,,,
146745.000,,,,W6JWS,,,Coordinated,,,,146.145,,,94.8,SLVARES,FMN,Ham,,Santa Cruz,,o94.8ers,narcc.org,,,,y
146745.000,,,,W6LAH,,,Coordinated,,,,146.145,,,110.9,LAHEG,FMN,Ham,,LosAltosHills,,o110.9e,narcc.org,,,,
146745.000,,,,W6LAH,,,Coordinated,,,,146.145,,,,LAHEG,FMN,Ham,,LosAltosHills,,ce,narcc.org,,,,
146760.000,,,,W6BHZ,,,Coordinated,,,,146.16,,,91.5,CPARC,FMN,Ham,,SanLuisObispo,,o91.5aels,narcc.org,,I:3016,,y
146760.000,,,,WB6OQS,,,Coordinated,,,,146.16,,,151.4,SCVRS,FMN,Ham,,San Jose,,o151.4alx,narcc.org,,,y,
146775.000,,,,KB6MET,,,Not Coordinated,,,,146.175,,,123,KB6MET,FMN,Ham,,Watsonville,,#o123.0a,narcc.org,,,,
146790.000,,,,K6BJ ,,,Santa Cruz ,,,,146.19,RM,94.8 PL,,S Cruz,FM ,Ham ,Santa Cruz,,VHF ARES,,RadioReference,,,,
146790.000,,,,K6BJ,,,Coordinated,,,,146.19,,,94.8,SCCARC,FMN,Ham,,Santa Cruz,,o94.8aelrs,narcc.org,,,,y
146800.000,,,,WB6FMC,,,Not Coordinated,,,,146.2,,,127.3,WB6FMC,FMN,Ham,,SanLuisObispo,,#o127.3ersx,narcc.org,,,y,y
146820.000,,,,K6INC,,,Coordinated,,,,146.22,,,123,SCAN INT'L,FMN,Ham,,San Jose,,o123.0,narcc.org,,,,
146835.000,,,,AE6KE ,,,Loma Prieta Summit ,,,,146.235,RM,94.8 PL,,Smt/Loma,FM ,Ham ,Santa Cruz,,VHF ARES,,RadioReference,,,,
146835.000,,,,AE6KE,,,Coordinated,,,,146.235,,,94.8,SC ARES,FMN,Ham,,Santa Cruz,,o94.8ers,narcc.org,,,,y
146835.000,,,,W6SLO,,,Coordinated,,,,146.235,,,127.3,SLOECC,FMN,Ham,,SantaMargarita,,o127.3ersx,narcc.org,,,y,y
146860.000,,,,WB6MIA,,,Coordinated,,,,146.26,,,127.3,SLOECC,FMN,Ham,,Los Osos,,o127.3ers,narcc.org,,,,y
146880.000,,,,W6YDZ,,,Coordinated,,,,146.28,,,127.3,W6YDZ,FMN,Ham,,Templeton,,o127.3elsx,narcc.org,,,y,y
146895.000,,,,KB6FEC,,,Coordinated,,,,146.295,,,110.9,KB6FEC,FMN,Ham,,San Jose,,o110.9rs,narcc.org,,,,y
146910.000,,,,W6OPI,,,Coordinated,,,,146.31,,,94.8,W6OPI,FMN,Ham,,Prunedale,,o94.8ers,narcc.org,E:396492,,,y
146940.000,,,,KI6PAU,,,Coordinated,,,,146.34,,,94.8,KI6PAU,FMN,Ham,,Big Sur,,o94.8es,narcc.org,,,,y
146940.000,,,,W6SLO,,,Coordinated,,,,146.34,,,127.3,SLOECC,FMN,Ham,,Arroyo Grande,,o127.3ers,narcc.org,,,,y
146970.000,,,,K6LY,,,Not Coordinated,,,,146.37,,,94.8,NPSARC,FMN,Ham,,Monterey,,o94.8ers,narcc.org,,,,y
146970.000,,,,WA6INC,,,Coordinated,,,,146.37,,,,AD1U,FMN,Ham,,San Jose,,cl,narcc.org,,,,
146980.000,,,,W6YDZ,,,Coordinated,,,,146.38,,,127.3,PRARC,FMN,Ham,,Paso Robles,,o127.3els,narcc.org,,,,y
146985.000,,,,W6UU,,,Coordinated,,,,146.385,,,114.8,SCCARA,FMN,Ham,,San Jose,,o114.8aer,narcc.org,,,,
147000.000,,,,K6RMW ,,,Watsonville ,,,,147.6,RM,94.8 PL,,Watsonville,FM ,Ham ,Santa Cruz,,VHF ARES,,RadioReference,,,,
147000.000,,,,K6RMW,,,Coordinated,,,,147.6,,,94.8,K6RMWK6GDI,FMN,Ham,,Watsonville,,o94.8ers,narcc.org,,,,y
147030.000,,,,AE6HC,,,Coordinated,,,,147.63,,,127.3,HVRA,FMN,Ham,,Arroyo Grande,,o127.3e,narcc.org,,,,
147060.000,,,,W6PRB,,,Coordinated,,,,147.66,,,127.3,PRHS-ARC,FMN,Ham,,Paso Robles,,o127.3ers,narcc.org,,,,y
147120.000,,,,WR6AOK ,,,Ben Lomond ,,,,147.72,RM,94.8 PL,,BenLomnd,FM ,Ham ,Santa Cruz,,VHF ARES,,RadioReference,,,,
147120.000,,,,WA6VPL,,,Coordinated,,,,147.72,,,131.8,WA6VPL,FMN,Ham,,Lompoc,,o131.8es,narcc.org,,,,y
147120.000,,,,WR6AOK,,,Coordinated,,,,147.72,,,94.8,SLVARC,FMN,Ham,,Ben Lomond,,o94.8els,narcc.org,,,,y
147150.000,,,,WA6YCZ,,,Coordinated,,,,147.75,,,,BAYCOM,FMN,Ham,,San Jose,,celx,narcc.org,,,,
147165.000,,,,KB6FEC,,,Coordinated,,,,147.765,,,100,KB6FEC,FMN,Ham,,San Jose,,o100.0rs,narcc.org,,,,y
147165.000,,,,KB6FEC,,,Coordinated,,,,147.765,,,162.2,KB6FEC,FMN,Ham,,San Jose,,o162.2ers,narcc.org,,,,y
147180.000,,,,W6WLS ,,,Santa Cruz Mountains (Felton / Bonny Doon) ,,,,147.78,RM,94.8 PL,,SCZ Mtns,FM ,Ham ,Santa Cruz,,VHF ARES,,RadioReference,,,,
147180.000,,,,W6WLS,,,Coordinated,,,,147.78,,,94.8,W6WLS,FMN,Ham,,Felton,,o94.8elsx,narcc.org,,I:3228,y,y
147270.000,,,,KC6TOX,,,Not Coordinated,,,,147.87,,,127.3,SLOECC,FMN,Ham,,Cambria,,#o127.3,narcc.org,,,,
147285.000,,,,KF6FWO,,,Coordinated,,,,147.885,,,103.5,MARA,FMN,Ham,,San Jose,,o103.5aer,narcc.org,,,,
147315.000,,,,N6SBC,,,Coordinated,,,,147.915,,,94.8,SBC OES,FMN,Ham,,Hollister,,o94.8els,narcc.org,,,,y
147315.000,,,,N6SBC,,,Coordinated,,,,147.915,,,146.2,SBC ARES,FMN,Ham,,Hollister,,o146.2es,narcc.org,,,,y
147330.000,,,,K7DAA,,,Coordinated,,,,147.93,,,103.5,MHARS,FMN,Ham,,Morgan Hill,,o103.5ae,narcc.org,E:9537,I:7662,,
147360.000,,,,W6FM,,,Coordinated,,,,147.96,,,127.3,W6FM,FMN,Ham,,SanLuisObispo,,o127.3ers,narcc.org,,,,y
147360.000,,,,W6TI,,,Coordinated,,,,147.96,,,110.9,NCDXC,FMN,Ham,,Palo Alto,,o110.9esx,narcc.org,,,y,y
147390.000,,,,W6PIY,,,Coordinated,,,,147.99,,,151.4,WVARA,FMN,Ham,,San Jose,,o151.4aels,narcc.org,,,,y
147675.000,,,,KB6FEC,,,Not Coordinated,,,,147.075,,,162.2,KB6FEC,FMN,Ham,,San Jose,,#o162.2,narcc.org,,,,
147825.000,,,,W6GGF,,,Coordinated,,,,147.225,,,100,GVARC,FMN,Ham,,Morgan Hill,,o100.0aers,narcc.org,,,,y
147855.000,,,,WA6TEM,,,Coordinated,,,,147.255,,,100,WA6HNE,FMN,Ham,,San Jose,,o100.0ae,narcc.org,,,,
147945.000,,,,KI6EH ,,,Watsonville ,,,,147.345,RM,94.8 PL,,Watsonville,FM ,Ham ,Santa Cruz,,VHF ARES,,RadioReference,,,,
147945.000,,,,KI6EH,,,Coordinated,,,,147.345,,,94.8,SCCARC,FMN,Ham,,Watsonville,,o94.8elrs,narcc.org,,,,y
147945.000,,,,N6QDY,,,Coordinated,,,,147.345,,,77,C.A.R.U.N.,FMN,Ham,,Milpitas,,o77.0elsx,narcc.org,,,y,y
147990.000,,,,WB6MIA,,,Coordinated,,,,147.39,,,127.3,SLOECC,FMN,Ham,,Nipomo,,o127.3rs,narcc.org,,,,y
150775.000,,,,,,,Tac Silver ,,,,,RM,192.8 PL,,SCCoFD Sil,FM ,Fire-Tac ,Santa Cruz,,Fire,,RadioReference,,,,
151040.000,,,,,,,Tac Orange ,,,,,RM,151.4 PL,,SCCoFD Orn,FM ,Fire-Tac ,Santa Cruz,,Fire,,RadioReference,,,,
151100.000,,,,,,,County Roads ,,,,159.195,RM,CSQ,,SCC Roads,FM ,Public Works ,Santa Cruz,,,,RadioReference,,,,
152360.000,,,,WNKD229 ,,,Yellow Cab Co - Base ,,,,,B,,,Yellow Cab B,FM ,Transportation ,Santa Cruz,,,,RadioReference,,,,
153410.000,,,,KMK835  ,,,Water Department ,,,,158.16,RM,,,SntaCruzWtr,FM ,Public Works ,Santa Cruz,Santa Cruz,,,RadioReference,,,,
153515.000,,,,WNHB862 ,,,District Operations ,,,,,BM,,,SVWD Ops,FM ,Utilities ,Santa Cruz,Scotts Valley,Water,,RadioReference,,,,
153530.000,,,,KFM822 ,,,District Operations ,,,,158.19,RM,131.8 PL,,SCWD Ops,FM ,Utilities ,Santa Cruz,Soquel,Water,,RadioReference,,,,
153635.000,,,,KMB879 ,,,Santa Cruz Area Electric ,,,,,BM,103.5 PL,,PG&E S Cruz,FM ,Utilities ,Santa Cruz,,Pacific Gas and Electric,,RadioReference,,,,
153995.000,,,,KNHB808 ,,,Police Secondary Yellow ,,,,,BM,,,CapitolaPD 2,FM ,Law Tac ,Santa Cruz,Capitola,,,RadioReference,,,,
154055.000,,,,KD28224  ,,,Common Black ,,,,,M,162.2 PL,,SCCSO Black,FM ,Law Tac ,Santa Cruz,,Sheriff,,RadioReference,,,,
154055.000,,,,,,,South Tac Black ,,,,,BM,192.8 PL,,SCCoFD Blk,FM ,Fire-Tac ,Santa Cruz,,Fire,,RadioReference,,,,
154100.000,,,,KMJ884  ,,,Trash/Recycling ,,,,158.79,RM,103.5 PL,,SntaCruzTras,FM ,Public Works ,Santa Cruz,Santa Cruz,,,RadioReference,,,,
